empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C7H6BrF3N2/c8-5-1-4(7(9,10)11)2-6(3-5)13-12/h1-3,13H,12H2",253.966645,65490425
,"InChI=1S/C7H6BrF3N2/c8-5-2-1-3-6(13-5)12-4-7(9,10)11/h1-3H,4H2,(H,12,13)",253.966645,63963853
,"InChI=1S/C7H6BrF3N2/c8-5-2-1-3-12-6(5)13-4-7(9,10)11/h1-3H,4H2,(H,12,13)",253.966645,61373713
,"InChI=1S/C7H6BrF3N2/c8-5-1-4(2-13-3-5)6(12)7(9,10)11/h1-3,6H,12H2",253.966645,59578417
,"InChI=1S/C7H6BrF3N2/c8-5-2-1-4(3-13-5)6(12)7(9,10)11/h1-3,6H,12H2",253.966645,59278511
,"InChI=1S/C7H6BrF3N2/c8-6-4(3-12)1-2-5(13-6)7(9,10)11/h1-2H,3,12H2",253.966645,58873619
,"InChI=1S/C7H6BrF3N2/c8-3-1-4(12)6(5(13)2-3)7(9,10)11/h1-2H,12-13H2",253.966645,57911085
,"InChI=1S/C9H9Cl3O2/c1-13-8-4-2-7(3-5-8)6-14-9(10,11)12/h2-5H,6H2,1H3",253.966813,57261789
,"InChI=1S/C5H3BrN8/c6-5(13-14-8)11-2-3(7)9-1-10-4(2)12-5/h1H,(H2,7,9,10,12)",253.966404,54231883
,"InChI=1S/C7H6BrF3N2/c8-5-3-4(7(9,10)11)1-2-6(5)13-12/h1-3,13H,12H2",253.966645,53909934
,"InChI=1S/C7H6BrF3N2/c8-6-2-1-4(13-12)3-5(6)7(9,10)11/h1-3,13H,12H2",253.966645,53426482
,"InChI=1S/C7H6BrF3N2/c8-13(12)6-3-1-2-5(4-6)7(9,10)11/h1-4H,12H2",253.966645,53405646
,"InChI=1S/C7H6BrF3N2/c8-4-1-2-6(13-12)5(3-4)7(9,10)11/h1-3,13H,12H2",253.966645,50988740
,"InChI=1S/C7H6BrF3N2/c8-5-1-2-6(12-3-5)13-4-7(9,10)11/h1-3H,4H2,(H,12,13)",253.966645,29280222
,"InChI=1S/C7H6BrF3N2/c8-6-4(7(9,10)11)1-3(12)2-5(6)13/h1-2H,12-13H2",253.966645,23135586
,"InChI=1S/C7H6BrF3N2/c8-13-12-6-3-1-5(2-4-6)7(9,10)11/h1-4,12-13H",253.966645,20429810
,"InChI=1S/C9H9Cl3O2/c10-7-1-3-8(4-2-7)13-5-6-14-9(11)12/h1-4,9H,5-6H2",253.966813,20147892
,"InChI=1S/C7H6BrF3N2/c1-13(7(9,10)11)6-3-2-5(8)4-12-6/h2-4H,1H3",253.966645,14942323
,"InChI=1S/C11H10SSe/c1-2-6-11(7-3-1)13-9-10-5-4-8-12-10/h1-8H,9H2",253.966843,12681934
,"InChI=1S/C11H10SSe/c1-9-7-8-12-11(9)13-10-5-3-2-4-6-10/h2-8H,1H3",253.966843,10999563
,"InChI=1S/C7H6BrF3N2/c8-4-2-6(13)5(12)1-3(4)7(9,10)11/h1-2H,12-13H2",253.966645,10538921
,"InChI=1S/C7H6BrF3N2/c8-3-1-4(7(9,10)11)6(13)5(12)2-3/h1-2H,12-13H2",253.966645,10515152
,"InChI=1S/C7H6BrF3N2/c8-5-2-1-4(7(9,10)11)3-6(5)13-12/h1-3,13H,12H2",253.966645,2773419
,"InChI=1S/C7H6BrF3N2/c8-4-1-3(7(9,10)11)2-5(12)6(4)13/h1-2H,12-13H2",253.966645,735785
